,id,title,original_language,release_date,release_mon,release_month,release_year,vote_average,popularity,adult
8849,12658,Someone Like You...,en,3/30/01,3,March,2001,6,13.261,FALSE
18422,2575,The Tailor of Panama,en,3/30/01,3,March,2001,6,12.691,FALSE
18849,12658,Someone Like You...,en,3/30/01,3,March,2001,6,13.261,FALSE
1925,4133,Blow,en,4/4/01,4,April,2001,7.4,20.798,FALSE
8570,6935,Yamakasi,fr,4/4/01,4,April,2001,6,11.748,FALSE
11925,4133,Blow,en,4/4/01,4,April,2001,7.4,20.798,FALSE
18570,6935,Yamakasi,fr,4/4/01,4,April,2001,6,11.748,FALSE
7008,2043,Along Came a Spider,en,4/6/01,4,April,2001,6.3,21.544,FALSE
17008,2043,Along Came a Spider,en,4/6/01,4,April,2001,6.3,21.544,FALSE
9998,10956,Joe Dirt,en,4/10/01,4,April,2001,5.6,15.664,FALSE
19998,10956,Joe Dirt,en,4/10/01,4,April,2001,5.6,15.664,FALSE
4908,634,Bridget Jones's Diary,en,4/13/01,4,April,2001,6.7,21.677,FALSE
14908,634,Bridget Jones's Diary,en,4/13/01,4,April,2001,6.7,21.677,FALSE
8883,1722,Captain Corelli's Mandolin,en,4/18/01,4,April,2001,5.9,14.974,FALSE
18883,1722,Captain Corelli's Mandolin,en,4/18/01,4,April,2001,5.9,14.974,FALSE
9416,2144,One Night at McCool's,en,4/19/01,4,April,2001,5.8,10.492,FALSE
19416,2144,One Night at McCool's,en,4/19/01,4,April,2001,5.8,10.492,FALSE
2277,1433,The Devil's Backbone,es,4/20/01,4,April,2001,7.3,16.663,FALSE
7654,467,The Hole,en,4/20/01,4,April,2001,6.2,13.923,FALSE
12277,1433,The Devil's Backbone,es,4/20/01,4,April,2001,7.3,16.663,FALSE
17654,467,The Hole,en,4/20/01,4,April,2001,6.2,13.923,FALSE
466,194,Amélie,fr,4/25/01,4,April,2001,7.9,28.025,FALSE
10466,194,Amélie,fr,4/25/01,4,April,2001,7.9,28.025,FALSE
6985,1734,The Mummy Returns,en,5/4/01,5,May,2001,6.3,52.72,FALSE
16985,1734,The Mummy Returns,en,5/4/01,5,May,2001,6.3,52.72,FALSE
8284,2057,Original Sin,en,5/8/01,5,May,2001,6.1,23.79,FALSE
18284,2057,Original Sin,en,5/8/01,5,May,2001,6.1,23.79,FALSE
4289,9476,A Knight's Tale,en,5/11/01,5,May,2001,6.9,26.305,FALSE
9496,10596,Replicant,en,5/11/01,5,May,2001,5.8,14.215,FALSE
14289,9476,A Knight's Tale,en,5/11/01,5,May,2001,6.9,26.305,FALSE
19496,10596,Replicant,en,5/11/01,5,May,2001,5.8,14.215,FALSE
8347,5852,Angel Eyes,en,5/15/01,5,May,2001,6.1,12.545,FALSE
18347,5852,Angel Eyes,en,5/15/01,5,May,2001,6.1,12.545,FALSE
819,808,Shrek,en,5/18/01,5,May,2001,7.7,142.074,FALSE
10819,808,Shrek,en,5/18/01,5,May,2001,7.7,142.074,FALSE
2372,12900,Conspiracy,en,5/19/01,5,May,2001,7.3,13.596,FALSE
12372,12900,Conspiracy,en,5/19/01,5,May,2001,7.3,13.596,FALSE
3954,676,Pearl Harbor,en,5/21/01,5,May,2001,6.9,32.586,FALSE
13954,676,Pearl Harbor,en,5/21/01,5,May,2001,6.9,32.586,FALSE
1141,824,Moulin Rouge!,en,5/24/01,5,May,2001,7.6,19.643,FALSE
11141,824,Moulin Rouge!,en,5/24/01,5,May,2001,7.6,19.643,FALSE
3128,9606,Metropolis,ja,5/26/01,5,May,2001,7.1,18.953,FALSE
13128,9606,Metropolis,ja,5/26/01,5,May,2001,7.1,18.953,FALSE
3722,10865,Atlantis: The Lost Empire,en,6/2/01,6,June,2001,7,25.356,FALSE
13722,10865,Atlantis: The Lost Empire,en,6/2/01,6,June,2001,7,25.356,FALSE
599,1018,Mulholland Drive,en,6/6/01,6,June,2001,7.8,24.439,FALSE
10599,1018,Mulholland Drive,en,6/6/01,6,June,2001,7.8,24.439,FALSE
4808,1365,Monster's Ball,en,6/7/01,6,June,2001,6.8,16.28,FALSE
7609,9705,Swordfish,en,6/7/01,6,June,2001,6.2,20.863,FALSE
14808,1365,Monster's Ball,en,6/7/01,6,June,2001,6.8,16.28,FALSE
17609,9705,Swordfish,en,6/7/01,6,June,2001,6.2,20.863,FALSE
1747,1391,Y Tu Mamá También,es,6/8/01,6,June,2001,7.4,28.813,FALSE
8462,9397,Evolution,en,6/8/01,6,June,2001,6,38.076,FALSE
11747,1391,Y Tu Mamá También,es,6/8/01,6,June,2001,7.4,28.813,FALSE
18462,9397,Evolution,en,6/8/01,6,June,2001,6,38.076,FALSE
9171,1995,Lara Croft: Tomb Raider,en,6/11/01,6,June,2001,5.9,28.914,FALSE
19171,1995,Lara Croft: Tomb Raider,en,6/11/01,6,June,2001,5.9,28.914,FALSE
2371,19666,Lagaan: Once Upon a Time in India,hi,6/15/01,6,June,2001,7.3,15.526,FALSE
5288,9517,Bully,en,6/15/01,6,June,2001,6.7,11.468,FALSE
12371,19666,Lagaan: Once Upon a Time in India,hi,6/15/01,6,June,2001,7.3,15.526,FALSE
15288,9517,Bully,en,6/15/01,6,June,2001,6.7,11.468,FALSE
3807,9799,The Fast and the Furious,en,6/22/01,6,June,2001,7,7.296,FALSE
13807,9799,The Fast and the Furious,en,6/22/01,6,June,2001,7,7.296,FALSE
2830,16161,Baby Boy,en,6/27/01,6,June,2001,7.2,13.367,FALSE
12830,16161,Baby Boy,en,6/27/01,6,June,2001,7.2,13.367,FALSE
3436,644,A.I. Artificial Intelligence,en,6/29/01,6,June,2001,7,26.265,FALSE
5526,10691,Crazy/Beautiful,en,6/29/01,6,June,2001,6.6,10.157,FALSE
13436,644,A.I. Artificial Intelligence,en,6/29/01,6,June,2001,7,26.265,FALSE
15526,10691,Crazy/Beautiful,en,6/29/01,6,June,2001,6.6,10.157,FALSE
6483,8922,Jeepers Creepers,en,7/1/01,7,July,2001,6.4,36.18,FALSE
16483,8922,Jeepers Creepers,en,7/1/01,7,July,2001,6.4,36.18,FALSE
7824,2114,Final Fantasy: The Spirits Within,en,7/2/01,7,July,2001,6.2,14.487,FALSE
17824,2114,Final Fantasy: The Spirits Within,en,7/2/01,7,July,2001,6.2,14.487,FALSE
9478,4248,Scary Movie 2,en,7/4/01,7,July,2001,5.8,51.177,FALSE
19478,4248,Scary Movie 2,en,7/4/01,7,July,2001,5.8,51.177,FALSE
3255,11770,Shaolin Soccer,cn,7/5/01,7,July,2001,7.1,40.904,FALSE
13255,11770,Shaolin Soccer,cn,7/5/01,7,July,2001,7.1,40.904,FALSE
4539,2140,Kiss of the Dragon,en,7/6/01,7,July,2001,6.8,19.755,FALSE
6414,12600,Pokémon 4Ever,ja,7/6/01,7,July,2001,6.5,23.105,FALSE
14539,2140,Kiss of the Dragon,en,7/6/01,7,July,2001,6.8,19.755,FALSE
16414,12600,Pokémon 4Ever,ja,7/6/01,7,July,2001,6.5,23.105,FALSE
4433,8366,Manitou's Shoe,de,7/11/01,7,July,2001,6.8,10.167,FALSE
14433,8366,Manitou's Shoe,de,7/11/01,7,July,2001,6.8,10.167,FALSE
4900,8835,Legally Blonde,en,7/13/01,7,July,2001,6.7,28.789,FALSE
5162,11371,The Score,en,7/13/01,7,July,2001,6.7,15.126,FALSE
14900,8835,Legally Blonde,en,7/13/01,7,July,2001,6.7,28.789,FALSE
15162,11371,The Score,en,7/13/01,7,July,2001,6.7,15.126,FALSE
9775,11467,America's Sweethearts,en,7/17/01,7,July,2001,5.7,16.023,FALSE
19775,11467,America's Sweethearts,en,7/17/01,7,July,2001,5.7,16.023,FALSE
8114,331,Jurassic Park III,en,7/18/01,7,July,2001,6.1,1.418,FALSE
18114,331,Jurassic Park III,en,7/18/01,7,July,2001,6.1,1.418,FALSE
7,129,Spirited Away,ja,7/20/01,7,July,2001,8.5,72.546,FALSE
1641,13403,Hedwig and the Angry Inch,en,7/20/01,7,July,2001,7.4,10.956,FALSE
3190,1548,Ghost World,en,7/20/01,7,July,2001,7.1,8.115,FALSE
10007,129,Spirited Away,ja,7/20/01,7,July,2001,8.5,72.546,FALSE
11641,13403,Hedwig and the Angry Inch,en,7/20/01,7,July,2001,7.4,10.956,FALSE
13190,1548,Ghost World,en,7/20/01,7,July,2001,7.1,8.115,FALSE
4375,14752,Dil Chahta Hai,hi,7/24/01,7,July,2001,6.9,6.666,FALSE
14375,14752,Dil Chahta Hai,hi,7/24/01,7,July,2001,6.9,6.666,FALSE
9665,869,Planet of the Apes,en,7/25/01,7,July,2001,5.7,44.81,FALSE
19665,869,Planet of the Apes,en,7/25/01,7,July,2001,5.7,44.81,FALSE
1351,11178,My Sassy Girl,ko,7/27/01,7,July,2001,7.5,16.06,FALSE
7252,2171,Wet Hot American Summer,en,7/27/01,7,July,2001,6.3,8.844,FALSE
11351,11178,My Sassy Girl,ko,7/27/01,7,July,2001,7.5,16.06,FALSE
17252,2171,Wet Hot American Summer,en,7/27/01,7,July,2001,6.3,8.844,FALSE
1078,1933,The Others,en,8/2/01,8,August,2001,7.6,21.88,FALSE
11078,1933,The Others,en,8/2/01,8,August,2001,7.6,21.88,FALSE
3931,9880,The Princess Diaries,en,8/3/01,8,August,2001,6.9,38.426,FALSE
5155,5175,Rush Hour 2,en,8/3/01,8,August,2001,6.7,37.293,FALSE
13931,9880,The Princess Diaries,en,8/3/01,8,August,2001,6.9,38.426,FALSE
15155,5175,Rush Hour 2,en,8/3/01,8,August,2001,6.7,37.293,FALSE
5723,2779,The Curse of the Jade Scorpion,en,8/5/01,8,August,2001,6.6,10.381,FALSE
15723,2779,The Curse of the Jade Scorpion,en,8/5/01,8,August,2001,6.6,10.381,FALSE
6181,12610,Osmosis Jones,en,8/10/01,8,August,2001,6.5,20.517,FALSE
7633,2770,American Pie 2,en,8/10/01,8,August,2001,6.2,47.274,FALSE
7947,10972,Session 9,en,8/10/01,8,August,2001,6.2,13.619,FALSE
16181,12610,Osmosis Jones,en,8/10/01,8,August,2001,6.5,20.517,FALSE
17633,2770,American Pie 2,en,8/10/01,8,August,2001,6.2,47.274,FALSE
17947,10972,Session 9,en,8/10/01,8,August,2001,6.2,13.619,FALSE
5721,36897,Pokémon: Mewtwo Returns,ja,8/17/01,8,August,2001,6.6,12.9,FALSE
7539,9896,Rat Race,en,8/17/01,8,August,2001,6.2,18.685,FALSE
8236,13496,American Outlaws,en,8/17/01,8,August,2001,6.1,11.391,FALSE
15721,36897,Pokémon: Mewtwo Returns,ja,8/17/01,8,August,2001,6.6,12.9,FALSE
17539,9896,Rat Race,en,8/17/01,8,August,2001,6.2,18.685,FALSE
18236,13496,American Outlaws,en,8/17/01,8,August,2001,6.1,11.391,FALSE
6648,2294,Jay and Silent Bob Strike Back,en,8/22/01,8,August,2001,6.4,11.993,FALSE
16648,2294,Jay and Silent Bob Strike Back,en,8/22/01,8,August,2001,6.4,11.993,FALSE
4136,4012,The Believer,en,8/23/01,8,August,2001,6.9,14.631,FALSE
14136,4012,The Believer,en,8/23/01,8,August,2001,6.9,14.631,FALSE
5169,1364,Sex and Lucía,es,8/24/01,8,August,2001,6.7,30.074,FALSE
9777,9683,Bubble Boy,en,8/24/01,8,August,2001,5.7,13.984,FALSE
15169,1364,Sex and Lucía,es,8/24/01,8,August,2001,6.7,30.074,FALSE
19777,9683,Bubble Boy,en,8/24/01,8,August,2001,5.7,13.984,FALSE
9101,11065,O,en,8/31/01,8,August,2001,5.9,12.054,FALSE
19101,11065,O,en,8/31/01,8,August,2001,5.9,12.054,FALSE
883,11299,Cowboy Bebop: The Movie,ja,9/1/01,9,September,2001,7.7,14.673,FALSE
10883,11299,Cowboy Bebop: The Movie,ja,9/1/01,9,September,2001,7.7,14.673,FALSE
5025,12508,Rock Star,en,9/4/01,9,September,2001,6.7,15.719,FALSE
15025,12508,Rock Star,en,9/4/01,9,September,2001,6.7,15.719,FALSE
2137,1791,The Piano Teacher,fr,9/5/01,9,September,2001,7.3,13.447,FALSE
12137,1791,The Piano Teacher,fr,9/5/01,9,September,2001,7.3,13.447,FALSE
9120,2084,Birthday Girl,en,9/6/01,9,September,2001,5.9,12.187,FALSE
19120,2084,Birthday Girl,en,9/6/01,9,September,2001,5.9,12.187,FALSE
4709,11313,Hearts in Atlantis,en,9/7/01,9,September,2001,6.8,12.539,FALSE
8989,7501,Knockaround Guys,en,9/7/01,9,September,2001,5.9,13.168,FALSE
14709,11313,Hearts in Atlantis,en,9/7/01,9,September,2001,6.8,12.539,FALSE
18989,7501,Knockaround Guys,en,9/7/01,9,September,2001,5.9,13.168,FALSE
1534,8342,No Man's Land,bs,9/8/01,9,September,2001,7.5,8.891,FALSE
6652,16229,Prozac Nation,en,9/8/01,9,September,2001,6.4,8.792,FALSE
11534,8342,No Man's Land,bs,9/8/01,9,September,2001,7.5,8.891,FALSE
16652,16229,Prozac Nation,en,9/8/01,9,September,2001,6.4,8.792,FALSE
8705,441,Human Nature,en,9/12/01,9,September,2001,6,13.145,FALSE
18705,441,Human Nature,en,9/12/01,9,September,2001,6,13.145,FALSE
6429,20857,Hardball,en,9/14/01,9,September,2001,6.5,23.252,FALSE
9231,2176,The Glass House,en,9/14/01,9,September,2001,5.9,14.053,FALSE
16429,20857,Hardball,en,9/14/01,9,September,2001,6.5,23.252,FALSE
19231,2176,The Glass House,en,9/14/01,9,September,2001,5.9,14.053,FALSE
9115,9597,Vidocq,fr,9/18/01,9,September,2001,5.9,8.526,FALSE
19115,9597,Vidocq,fr,9/18/01,9,September,2001,5.9,8.526,FALSE
7626,12103,Don't Say a Word,en,9/28/01,9,September,2001,6.2,19.002,FALSE
7715,9398,Zoolander,en,9/28/01,9,September,2001,6.2,21.444,FALSE
17626,12103,Don't Say a Word,en,9/28/01,9,September,2001,6.2,19.002,FALSE
17715,9398,Zoolander,en,9/28/01,9,September,2001,6.2,21.444,FALSE
4603,15167,Barbie in the Nutcracker,en,9/30/01,9,September,2001,6.8,35.326,FALSE
14603,15167,Barbie in the Nutcracker,en,9/30/01,9,September,2001,6.8,35.326,FALSE
9465,10829,Tremors 3: Back to Perfection,en,10/2/01,10,October,2001,5.8,17.351,FALSE
19465,10829,Tremors 3: Back to Perfection,en,10/2/01,10,October,2001,5.8,17.351,FALSE
1446,9428,The Royal Tenenbaums,en,10/5/01,10,October,2001,7.5,20.601,FALSE
1521,2034,Training Day,en,10/5/01,10,October,2001,7.5,27.121,FALSE
4166,9778,Serendipity,en,10/5/01,10,October,2001,6.9,16.452,FALSE
6291,10866,Joy Ride,en,10/5/01,10,October,2001,6.5,14.24,FALSE
11446,9428,The Royal Tenenbaums,en,10/5/01,10,October,2001,7.5,20.601,FALSE
11521,2034,Training Day,en,10/5/01,10,October,2001,7.5,27.121,FALSE
14166,9778,Serendipity,en,10/5/01,10,October,2001,6.9,16.452,FALSE
16291,10866,Joy Ride,en,10/5/01,10,October,2001,6.5,14.24,FALSE
2040,15601,Scooby-Doo! and the Cyber Chase,en,10/9/01,10,October,2001,7.3,19.208,FALSE
12040,15601,Scooby-Doo! and the Cyber Chase,en,10/9/01,10,October,2001,7.3,19.208,FALSE
4329,34205,Halloweentown II: Kalabar's Revenge,en,10/12/01,10,October,2001,6.8,9.003,FALSE
7324,3172,Bandits,en,10/12/01,10,October,2001,6.3,11.472,FALSE
7527,10836,Dagon,en,10/12/01,10,October,2001,6.2,11.614,FALSE
14329,34205,Halloweentown II: Kalabar's Revenge,en,10/12/01,10,October,2001,6.8,9.003,FALSE
17324,3172,Bandits,en,10/12/01,10,October,2001,6.3,11.472,FALSE
17527,10836,Dagon,en,10/12/01,10,October,2001,6.2,11.614,FALSE
3023,6173,Read My Lips,fr,10/17/01,10,October,2001,7.1,8.552,FALSE
13023,6173,Read My Lips,fr,10/17/01,10,October,2001,7.1,8.552,FALSE
1447,9081,Waking Life,en,10/19/01,10,October,2001,7.5,16.523,FALSE
3003,2100,The Last Castle,en,10/19/01,10,October,2001,7.1,13.652,FALSE
4537,11091,Riding in Cars with Boys,en,10/19/01,10,October,2001,6.8,15.431,FALSE
11447,9081,Waking Life,en,10/19/01,10,October,2001,7.5,16.523,FALSE
13003,2100,The Last Castle,en,10/19/01,10,October,2001,7.1,13.652,FALSE
14537,11091,Riding in Cars with Boys,en,10/19/01,10,October,2001,6.8,15.431,FALSE
2748,167,K-PAX,en,10/22/01,10,October,2001,7.2,14.429,FALSE
12748,167,K-PAX,en,10/22/01,10,October,2001,7.2,14.429,FALSE
683,141,Donnie Darko,en,10/24/01,10,October,2001,7.8,31.585,FALSE
10683,141,Donnie Darko,en,10/24/01,10,October,2001,7.8,31.585,FALSE
3266,11457,Life as a House,en,10/25/01,10,October,2001,7.1,13.282,FALSE
13266,11457,Life as a House,en,10/25/01,10,October,2001,7.1,13.282,FALSE
1206,10778,The Man Who Wasn't There,en,10/26/01,10,October,2001,7.6,10.337,FALSE
7597,9378,Thir13en Ghosts,en,10/26/01,10,October,2001,6.2,28.691,FALSE
11206,10778,The Man Who Wasn't There,en,10/26/01,10,October,2001,7.6,10.337,FALSE
17597,9378,Thir13en Ghosts,en,10/26/01,10,October,2001,6.2,28.691,FALSE
9085,32593,Snow White: The Fairest of Them All,en,10/28/01,10,October,2001,5.9,9.947,FALSE
9481,11456,Domestic Disturbance,en,10/28/01,10,October,2001,5.8,11.885,FALSE
19085,32593,Snow White: The Fairest of Them All,en,10/28/01,10,October,2001,5.9,9.947,FALSE
19481,11456,Domestic Disturbance,en,10/28/01,10,October,2001,5.8,11.885,FALSE
5786,12720,Suicide Club,ja,10/29/01,10,October,2001,6.6,8.61,FALSE
15786,12720,Suicide Club,ja,10/29/01,10,October,2001,6.6,8.61,FALSE
5613,2110,Wasabi,fr,10/31/01,10,October,2001,6.6,18.367,FALSE
15613,2110,Wasabi,fr,10/31/01,10,October,2001,6.6,18.367,FALSE
602,585,"Monsters, Inc.",en,11/1/01,11,November,2001,7.8,99.842,FALSE
7957,9889,Shallow Hal,en,11/1/01,11,November,2001,6.2,25.435,FALSE
10602,585,"Monsters, Inc.",en,11/1/01,11,November,2001,7.8,99.842,FALSE
17957,9889,Shallow Hal,en,11/1/01,11,November,2001,6.2,25.435,FALSE
8161,10796,The One,en,11/2/01,11,November,2001,6.1,17.348,FALSE
18161,10796,The One,en,11/2/01,11,November,2001,6.1,17.348,FALSE
3861,21448,Mickey's Magical Christmas: Snowed in at the House of Mouse,en,11/6/01,11,November,2001,7,16.084,FALSE
13861,21448,Mickey's Magical Christmas: Snowed in at the House of Mouse,en,11/6/01,11,November,2001,7,16.084,FALSE
4295,5279,Gosford Park,en,11/7/01,11,November,2001,6.9,14.936,FALSE
14295,5279,Gosford Park,en,11/7/01,11,November,2001,6.9,14.936,FALSE
7070,11088,Heist,en,11/9/01,11,November,2001,6.3,12.519,FALSE
17070,11088,Heist,en,11/9/01,11,November,2001,6.3,12.519,FALSE
5639,25649,Bad Guy,ko,11/11/01,11,November,2001,6.6,9.804,FALSE
15639,25649,Bad Guy,ko,11/11/01,11,November,2001,6.6,9.804,FALSE
443,671,Harry Potter and the Philosopher's Stone,en,11/16/01,11,November,2001,7.9,153.593,FALSE
10443,671,Harry Potter and the Philosopher's Stone,en,11/16/01,11,November,2001,7.9,153.593,FALSE
3766,12149,Frailty,en,11/17/01,11,November,2001,7,20.22,FALSE
13766,12149,Frailty,en,11/17/01,11,November,2001,7,20.22,FALSE
3995,1535,Spy Game,en,11/18/01,11,November,2001,6.9,15.765,FALSE
13995,1535,Spy Game,en,11/18/01,11,November,2001,6.9,15.765,FALSE
8954,2029,Tanguy,fr,11/21/01,11,November,2001,5.9,6.241,FALSE
18954,2029,Tanguy,fr,11/21/01,11,November,2001,5.9,6.241,FALSE
3986,1999,In the Bedroom,en,11/23/01,11,November,2001,6.9,9.272,FALSE
13986,1999,In the Bedroom,en,11/23/01,11,November,2001,6.9,9.272,FALSE
7284,8007,Behind Enemy Lines,en,11/30/01,11,November,2001,6.3,21.381,FALSE
17284,8007,Behind Enemy Lines,en,11/30/01,11,November,2001,6.3,21.381,FALSE
7959,4965,Impostor,en,12/3/01,12,December,2001,6.1,9.983,FALSE
17959,4965,Impostor,en,12/3/01,12,December,2001,6.1,9.983,FALSE
8435,25587,The Land Before Time VIII: The Big Freeze,en,12/4/01,12,December,2001,6.1,11.133,FALSE
18435,25587,The Land Before Time VIII: The Big Freeze,en,12/4/01,12,December,2001,6.1,11.133,FALSE
1717,161,Ocean's Eleven,en,12/7/01,12,December,2001,7.4,46.632,FALSE
8194,1613,The 51st State,en,12/7/01,12,December,2001,6.1,12.904,FALSE
9501,11397,Not Another Teen Movie,en,12/7/01,12,December,2001,5.8,33.236,FALSE
11717,161,Ocean's Eleven,en,12/7/01,12,December,2001,7.4,46.632,FALSE
18194,1613,The 51st State,en,12/7/01,12,December,2001,6.1,12.904,FALSE
19501,11397,Not Another Teen Movie,en,12/7/01,12,December,2001,5.8,33.236,FALSE
4566,1903,Vanilla Sky,en,12/10/01,12,December,2001,6.8,26.689,FALSE
4731,8489,Ali,en,12/10/01,12,December,2001,6.8,15.389,FALSE
14566,1903,Vanilla Sky,en,12/10/01,12,December,2001,6.8,26.689,FALSE
14731,8489,Ali,en,12/10/01,12,December,2001,6.8,15.389,FALSE
546,453,A Beautiful Mind,en,12/11/01,12,December,2001,7.9,36.439,FALSE
10546,453,A Beautiful Mind,en,12/11/01,12,December,2001,7.9,36.439,FALSE
9881,18298,The Three Kings,fr,12/12/01,12,December,2001,5.7,7.201,FALSE
19881,18298,The Three Kings,fr,12/12/01,12,December,2001,5.7,7.201,FALSE
702,10757,Kabhi Khushi Kabhie Gham,hi,12/14/01,12,December,2001,7.8,15.152,FALSE
10702,10757,Kabhi Khushi Kabhie Gham,hi,12/14/01,12,December,2001,7.8,15.152,FALSE
41,120,The Lord of the Rings: The Fellowship of the Ring,en,12/18/01,12,December,2001,8.4,86.448,FALSE
7065,6440,The Shipping News,en,12/18/01,12,December,2001,6.3,12.237,FALSE
10041,120,The Lord of the Rings: The Fellowship of the Ring,en,12/18/01,12,December,2001,8.4,86.448,FALSE
17065,6440,The Shipping News,en,12/18/01,12,December,2001,6.3,12.237,FALSE
4745,11086,The Majestic,en,12/21/01,12,December,2001,6.8,12.073,FALSE
7116,8386,How High,en,12/21/01,12,December,2001,6.3,19.216,FALSE
9002,12589,Jimmy Neutron: Boy Genius,en,12/21/01,12,December,2001,5.9,18.92,FALSE
14745,11086,The Majestic,en,12/21/01,12,December,2001,6.8,12.073,FALSE
17116,8386,How High,en,12/21/01,12,December,2001,6.3,19.216,FALSE
19002,12589,Jimmy Neutron: Boy Genius,en,12/21/01,12,December,2001,5.9,18.92,FALSE
3754,9696,Ichi the Killer,ja,12/22/01,12,December,2001,7,17.353,FALSE
13754,9696,Ichi the Killer,ja,12/22/01,12,December,2001,7,17.353,FALSE
7063,11232,Kate & Leopold,en,12/25/01,12,December,2001,6.3,13.34,FALSE
17063,11232,Kate & Leopold,en,12/25/01,12,December,2001,6.3,13.34,FALSE
7489,9991,Mean Machine,en,12/26/01,12,December,2001,6.2,10.648,FALSE
17489,9991,Mean Machine,en,12/26/01,12,December,2001,6.2,10.648,FALSE
1190,10950,I Am Sam,en,12/28/01,12,December,2001,7.6,19.467,FALSE
1935,855,Black Hawk Down,en,12/28/01,12,December,2001,7.4,43.043,FALSE
11190,10950,I Am Sam,en,12/28/01,12,December,2001,7.6,19.467,FALSE
11935,855,Black Hawk Down,en,12/28/01,12,December,2001,7.4,43.043,FALSE
9994,10375,D-Tox,en,1/4/02,1,January,2002,5.6,15.538,FALSE
19994,10375,D-Tox,en,1/4/02,1,January,2002,5.6,15.538,FALSE
8477,11857,Orange County,en,1/10/02,1,January,2002,6,11.701,FALSE
18477,11857,Orange County,en,1/10/02,1,January,2002,6,11.701,FALSE
7465,9962,The Good Girl,en,1/12/02,1,January,2002,6.2,8.476,FALSE
17465,9962,The Good Girl,en,1/12/02,1,January,2002,6.2,8.476,FALSE
5153,11022,Narc,en,1/14/02,1,January,2002,6.7,8.979,FALSE
15153,11022,Narc,en,1/14/02,1,January,2002,6.7,8.979,FALSE
2030,4107,Bloody Sunday,en,1/16/02,1,January,2002,7.3,9.024,FALSE
12030,4107,Bloody Sunday,en,1/16/02,1,January,2002,7.3,9.024,FALSE
9934,11888,Snow Dogs,en,1/18/02,1,January,2002,5.6,10.991,FALSE
19934,11888,Snow Dogs,en,1/18/02,1,January,2002,5.6,10.991,FALSE
4864,12205,Dark Water,ja,1/19/02,1,January,2002,6.8,10.702,FALSE
14864,12205,Dark Water,ja,1/19/02,1,January,2002,6.8,10.702,FALSE
955,11362,The Count of Monte Cristo,en,1/23/02,1,January,2002,7.7,26.572,FALSE
10955,11362,The Count of Monte Cristo,en,1/23/02,1,January,2002,7.7,26.572,FALSE
787,10229,A Walk to Remember,en,1/25/02,1,January,2002,7.7,35.71,FALSE
7077,11891,Kung Pow: Enter the Fist,en,1/25/02,1,January,2002,6.3,20.999,FALSE
7787,2637,The Mothman Prophecies,en,1/25/02,1,January,2002,6.2,23.681,FALSE
10787,10229,A Walk to Remember,en,1/25/02,1,January,2002,7.7,35.71,FALSE
17077,11891,Kung Pow: Enter the Fist,en,1/25/02,1,January,2002,6.3,20.999,FALSE
17787,2637,The Mothman Prophecies,en,1/25/02,1,January,2002,6.2,23.681,FALSE
1958,2899,Asterix & Obelix: Mission Cleopatra,fr,1/30/02,1,January,2002,7.4,33.154,FALSE
11958,2899,Asterix & Obelix: Mission Cleopatra,fr,1/30/02,1,January,2002,7.4,33.154,FALSE
5610,11468,The Salton Sea,en,2/2/02,2,February,2002,6.6,10.297,FALSE
6201,37910,Voices of a Distant Star,ja,2/2/02,2,February,2002,6.5,22.728,FALSE
15610,11468,The Salton Sea,en,2/2/02,2,February,2002,6.6,10.297,FALSE
16201,37910,Voices of a Distant Star,ja,2/2/02,2,February,2002,6.5,22.728,FALSE
3947,9555,Rabbit-Proof Fence,en,2/4/02,2,February,2002,6.9,9.325,FALSE
13947,9555,Rabbit-Proof Fence,en,2/4/02,2,February,2002,6.9,9.325,FALSE
3788,1958,8 Women,fr,2/6/02,2,February,2002,7,13.131,FALSE
6276,10575,Heaven,en,2/6/02,2,February,2002,6.5,11.807,FALSE
9598,9884,Collateral Damage,en,2/6/02,2,February,2002,5.7,12.839,FALSE
13788,1958,8 Women,fr,2/6/02,2,February,2002,7,13.131,FALSE
16276,10575,Heaven,en,2/6/02,2,February,2002,6.5,11.807,FALSE
19598,9884,Collateral Damage,en,2/6/02,2,February,2002,5.7,12.839,FALSE
9284,11870,Big Fat Liar,en,2/8/02,2,February,2002,5.8,12.197,FALSE
19284,11870,Big Fat Liar,en,2/8/02,2,February,2002,5.8,12.197,FALSE
8325,11979,Queen of the Damned,en,2/10/02,2,February,2002,6.1,18.392,FALSE
18325,11979,Queen of the Damned,en,2/10/02,2,February,2002,6.1,18.392,FALSE
3568,9045,Amen.,fr,2/13/02,2,February,2002,7,9.737,FALSE
3922,2750,24 Hour Party People,en,2/13/02,2,February,2002,6.9,8.414,FALSE
13568,9045,Amen.,fr,2/13/02,2,February,2002,7,9.737,FALSE
13922,2750,24 Hour Party People,en,2/13/02,2,February,2002,6.9,8.414,FALSE
6272,16690,Return to Never Land,en,2/14/02,2,February,2002,6.5,24.835,FALSE
16272,16690,Return to Never Land,en,2/14/02,2,February,2002,6.5,24.835,FALSE
3117,8470,John Q,en,2/15/02,2,February,2002,7.1,20.255,FALSE
6904,10592,Hart's War,en,2/15/02,2,February,2002,6.4,12.719,FALSE
13117,8470,John Q,en,2/15/02,2,February,2002,7.1,20.255,FALSE
16904,10592,Hart's War,en,2/15/02,2,February,2002,6.4,12.719,FALSE
